sample_id	raw_r1	raw_r2
ID_DRTO_161	20098D-04-157_S79_L008_R1_001.fastq.gz	20098D-04-157_S79_L008_R2_001.fastq.gz
ID_DRTO_162	20098D-04-158_S80_L008_R1_001.fastq.gz	20098D-04-158_S80_L008_R2_001.fastq.gz
ID_DRTO_163	20098D-04-159_S81_L008_R1_001.fastq.gz	20098D-04-159_S81_L008_R2_001.fastq.gz
ID_DRTO_164	20098D-04-160_S82_L008_R1_001.fastq.gz	20098D-04-160_S82_L008_R2_001.fastq.gz
ID_DRTO_165	20098D-04-161_S83_L008_R1_001.fastq.gz	20098D-04-161_S83_L008_R2_001.fastq.gz
ID_DRTO_166	20098D-04-162_S84_L008_R1_001.fastq.gz	20098D-04-162_S84_L008_R2_001.fastq.gz
ID_DRTO_167	20098D-04-163_S85_L008_R1_001.fastq.gz	20098D-04-163_S85_L008_R2_001.fastq.gz
ID_DRTO_168	20098D-04-164_S86_L008_R1_001.fastq.gz	20098D-04-164_S86_L008_R2_001.fastq.gz
ID_DRTO_169	20098D-04-165_S87_L008_R1_001.fastq.gz	20098D-04-165_S87_L008_R2_001.fastq.gz
ID_DRTO_170	20098D-04-166_S88_L008_R1_001.fastq.gz	20098D-04-166_S88_L008_R2_001.fastq.gz
ID_DRTO_171	20098D-04-167_S89_L008_R1_001.fastq.gz	20098D-04-167_S89_L008_R2_001.fastq.gz
ID_DRTO_172	20098D-04-168_S90_L008_R1_001.fastq.gz	20098D-04-168_S90_L008_R2_001.fastq.gz
ID_DRTO_173	20098D-04-169_S91_L008_R1_001.fastq.gz	20098D-04-169_S91_L008_R2_001.fastq.gz
ID_DRTO_174	20098D-04-170_S92_L008_R1_001.fastq.gz	20098D-04-170_S92_L008_R2_001.fastq.gz
ID_DRTO_175	20098D-04-171_S93_L008_R1_001.fastq.gz	20098D-04-171_S93_L008_R2_001.fastq.gz
ID_DRTO_176	20098D-04-172_S94_L008_R1_001.fastq.gz	20098D-04-172_S94_L008_R2_001.fastq.gz
ID_DRTO_177	20098D-04-173_S95_L008_R1_001.fastq.gz	20098D-04-173_S95_L008_R2_001.fastq.gz
ID_DRTO_179	20098D-04-174_S96_L008_R1_001.fastq.gz	20098D-04-174_S96_L008_R2_001.fastq.gz
ID_DRTO_180	20098D-04-175_S97_L008_R1_001.fastq.gz	20098D-04-175_S97_L008_R2_001.fastq.gz
ID_DRTO_181	20098D-04-176_S98_L008_R1_001.fastq.gz	20098D-04-176_S98_L008_R2_001.fastq.gz
ID_DRTO_182	20098D-04-177_S99_L008_R1_001.fastq.gz	20098D-04-177_S99_L008_R2_001.fastq.gz
ID_DRTO_183	20098D-04-178_S100_L008_R1_001.fastq.gz	20098D-04-178_S100_L008_R2_001.fastq.gz
ID_DRTO_184	20098D-04-179_S101_L008_R1_001.fastq.gz	20098D-04-179_S101_L008_R2_001.fastq.gz
ID_DRTO_185	20098D-04-180_S102_L008_R1_001.fastq.gz	20098D-04-180_S102_L008_R2_001.fastq.gz
ID_DRTO_186	20098D-04-181_S103_L008_R1_001.fastq.gz	20098D-04-181_S103_L008_R2_001.fastq.gz
ID_DRTO_187	20098D-04-182_S104_L008_R1_001.fastq.gz	20098D-04-182_S104_L008_R2_001.fastq.gz
ID_DRTO_188	20098D-04-183_S105_L008_R1_001.fastq.gz	20098D-04-183_S105_L008_R2_001.fastq.gz
ID_DRTO_189	20098D-04-184_S106_L008_R1_001.fastq.gz	20098D-04-184_S106_L008_R2_001.fastq.gz
ID_DRTO_190	20098D-04-185_S107_L008_R1_001.fastq.gz	20098D-04-185_S107_L008_R2_001.fastq.gz
ID_DRTO_191	20098D-04-186_S108_L008_R1_001.fastq.gz	20098D-04-186_S108_L008_R2_001.fastq.gz
ID_DRTO_192	20098D-04-187_S109_L008_R1_001.fastq.gz	20098D-04-187_S109_L008_R2_001.fastq.gz
ID_DRTO_193	20098D-04-188_S110_L008_R1_001.fastq.gz	20098D-04-188_S110_L008_R2_001.fastq.gz
ID_DRTO_194	20098D-04-189_S61_L005_R1_001.fastq.gz	20098D-04-189_S61_L005_R2_001.fastq.gz
ID_DRTO_195	20098D-04-190_S111_L008_R1_001.fastq.gz	20098D-04-190_S111_L008_R2_001.fastq.gz
ID_DRTO_196	20098D-04-191_S112_L008_R1_001.fastq.gz	20098D-04-191_S112_L008_R2_001.fastq.gz
ID_DRTO_197	20098D-04-192_S113_L008_R1_001.fastq.gz	20098D-04-192_S113_L008_R2_001.fastq.gz
ID_DRTO_198	20098D-04-193_S114_L002_R1_001.fastq.gz	20098D-04-193_S114_L002_R2_001.fastq.gz
ID_DRTO_199	20098D-04-194_S43_L002_R1_001.fastq.gz	20098D-04-194_S43_L002_R2_001.fastq.gz
ID_DRTO_200	20098D-04-195_S44_L002_R1_001.fastq.gz	20098D-04-195_S44_L002_R2_001.fastq.gz
ID_DRTO_201	20098D-04-196_S45_L002_R1_001.fastq.gz	20098D-04-196_S45_L002_R2_001.fastq.gz
