sample_id	raw_r1	raw_r2
ID_DRTO_1	20098D-04-01_S119_L003_R1_001.fastq.gz	20098D-04-01_S119_L003_R2_001.fastq.gz
ID_DRTO_2	20098D-04-02_S120_L003_R1_001.fastq.gz	20098D-04-02_S120_L003_R2_001.fastq.gz
ID_DRTO_3	20098D-04-03_S121_L003_R1_001.fastq.gz	20098D-04-03_S121_L003_R2_001.fastq.gz
ID_DRTO_4	20098D-04-04_S122_L003_R1_001.fastq.gz	20098D-04-04_S122_L003_R2_001.fastq.gz
ID_DRTO_5	20098D-04-05_S123_L003_R1_001.fastq.gz	20098D-04-05_S123_L003_R2_001.fastq.gz
ID_DRTO_6	20098D-04-06_S124_L003_R1_001.fastq.gz	20098D-04-06_S124_L003_R2_001.fastq.gz
ID_DRTO_7	20098D-04-07_S125_L003_R1_001.fastq.gz	20098D-04-07_S125_L003_R2_001.fastq.gz
ID_DRTO_8	20098D-04-08_S126_L003_R1_001.fastq.gz	20098D-04-08_S126_L003_R2_001.fastq.gz
ID_DRTO_9	20098D-04-09_S127_L003_R1_001.fastq.gz	20098D-04-09_S127_L003_R2_001.fastq.gz
ID_DRTO_10	20098D-04-10_S128_L003_R1_001.fastq.gz	20098D-04-10_S128_L003_R2_001.fastq.gz
ID_DRTO_11	20098D-04-11_S129_L003_R1_001.fastq.gz	20098D-04-11_S129_L003_R2_001.fastq.gz
ID_DRTO_12	20098D-04-12_S214_L003_R1_001.fastq.gz	20098D-04-12_S214_L003_R2_001.fastq.gz
ID_DRTO_13	20098D-04-13_S130_L003_R1_001.fastq.gz	20098D-04-13_S130_L003_R2_001.fastq.gz
ID_DRTO_14	20098D-04-14_S131_L003_R1_001.fastq.gz	20098D-04-14_S131_L003_R2_001.fastq.gz
ID_DRTO_15	20098D-04-15_S132_L003_R1_001.fastq.gz	20098D-04-15_S132_L003_R2_001.fastq.gz
ID_DRTO_16	20098D-04-16_S133_L003_R1_001.fastq.gz	20098D-04-16_S133_L003_R2_001.fastq.gz
ID_DRTO_17	20098D-04-17_S134_L003_R1_001.fastq.gz	20098D-04-17_S134_L003_R2_001.fastq.gz
ID_DRTO_18	20098D-04-18_S135_L003_R1_001.fastq.gz	20098D-04-18_S135_L003_R2_001.fastq.gz
ID_DRTO_19	20098D-04-19_S136_L003_R1_001.fastq.gz	20098D-04-19_S136_L003_R2_001.fastq.gz
ID_DRTO_20	20098D-04-20_S137_L003_R1_001.fastq.gz	20098D-04-20_S137_L003_R2_001.fastq.gz
ID_DRTO_21	20098D-04-21_S138_L003_R1_001.fastq.gz	20098D-04-21_S138_L003_R2_001.fastq.gz
ID_DRTO_22	20098D-04-22_S139_L003_R1_001.fastq.gz	20098D-04-22_S139_L003_R2_001.fastq.gz
ID_DRTO_23	20098D-04-23_S140_L003_R1_001.fastq.gz	20098D-04-23_S140_L003_R2_001.fastq.gz
ID_DRTO_24	20098D-04-24_S141_L003_R1_001.fastq.gz	20098D-04-24_S141_L003_R2_001.fastq.gz
ID_DRTO_25	20098D-04-25_S142_L003_R1_001.fastq.gz	20098D-04-25_S142_L003_R2_001.fastq.gz
ID_DRTO_26	20098D-04-26_S143_L003_R1_001.fastq.gz	20098D-04-26_S143_L003_R2_001.fastq.gz
ID_DRTO_27	20098D-04-27_S144_L003_R1_001.fastq.gz	20098D-04-27_S144_L003_R2_001.fastq.gz
ID_DRTO_28	20098D-04-28_S145_L003_R1_001.fastq.gz	20098D-04-28_S145_L003_R2_001.fastq.gz
ID_DRTO_29	20098D-04-29_S146_L003_R1_001.fastq.gz	20098D-04-29_S146_L003_R2_001.fastq.gz
ID_DRTO_30	20098D-04-30_S147_L003_R1_001.fastq.gz	20098D-04-30_S147_L003_R2_001.fastq.gz
ID_DRTO_31	20098D-04-31_S148_L003_R1_001.fastq.gz	20098D-04-31_S148_L003_R2_001.fastq.gz
ID_DRTO_32	20098D-04-32_S149_L003_R1_001.fastq.gz	20098D-04-32_S149_L003_R2_001.fastq.gz
ID_DRTO_33	20098D-04-33_S150_L003_R1_001.fastq.gz	20098D-04-33_S150_L003_R2_001.fastq.gz
ID_DRTO_34	20098D-04-34_S151_L003_R1_001.fastq.gz	20098D-04-34_S151_L003_R2_001.fastq.gz
ID_DRTO_35	20098D-04-35_S152_L003_R1_001.fastq.gz	20098D-04-35_S152_L003_R2_001.fastq.gz
ID_DRTO_36	20098D-04-36_S153_L003_R1_001.fastq.gz	20098D-04-36_S153_L003_R2_001.fastq.gz
ID_DRTO_37	20098D-04-37_S154_L003_R1_001.fastq.gz	20098D-04-37_S154_L003_R2_001.fastq.gz
ID_DRTO_38	20098D-04-38_S155_L003_R1_001.fastq.gz	20098D-04-38_S155_L003_R2_001.fastq.gz
ID_DRTO_39	20098D-04-39_S156_L003_R1_001.fastq.gz	20098D-04-39_S156_L003_R2_001.fastq.gz
ID_DRTO_40	20098D-04-40_S157_L003_R1_001.fastq.gz	20098D-04-40_S157_L003_R2_001.fastq.gz
ID_DRTO_41	20098D-04-41_S158_L003_R1_001.fastq.gz	20098D-04-41_S158_L003_R2_001.fastq.gz
ID_DRTO_42	20098D-04-42_S159_L003_R1_001.fastq.gz	20098D-04-42_S159_L003_R2_001.fastq.gz
ID_DRTO_43	20098D-04-43_S160_L003_R1_001.fastq.gz	20098D-04-43_S160_L003_R2_001.fastq.gz
ID_DRTO_44	20098D-04-44_S161_L003_R1_001.fastq.gz	20098D-04-44_S161_L003_R2_001.fastq.gz
ID_DRTO_45	20098D-04-45_S162_L003_R1_001.fastq.gz	20098D-04-45_S162_L003_R2_001.fastq.gz
ID_DRTO_46	20098D-04-46_S163_L003_R1_001.fastq.gz	20098D-04-46_S163_L003_R2_001.fastq.gz
ID_DRTO_47	20098D-04-47_S164_L003_R1_001.fastq.gz	20098D-04-47_S164_L003_R2_001.fastq.gz
ID_DRTO_48	20098D-04-48_S165_L003_R1_001.fastq.gz	20098D-04-48_S165_L003_R2_001.fastq.gz
ID_DRTO_49	20098D-04-49_S166_L003_R1_001.fastq.gz	20098D-04-49_S166_L003_R2_001.fastq.gz
ID_DRTO_50	20098D-04-50_S167_L003_R1_001.fastq.gz	20098D-04-50_S167_L003_R2_001.fastq.gz
ID_DRTO_53	20098D-04-51_S168_L003_R1_001.fastq.gz	20098D-04-51_S168_L003_R2_001.fastq.gz
ID_DRTO_54	20098D-04-52_S169_L003_R1_001.fastq.gz	20098D-04-52_S169_L003_R2_001.fastq.gz
ID_DRTO_55	20098D-04-53_S170_L003_R1_001.fastq.gz	20098D-04-53_S170_L003_R2_001.fastq.gz
ID_DRTO_56	20098D-04-54_S171_L003_R1_001.fastq.gz	20098D-04-54_S171_L003_R2_001.fastq.gz
ID_DRTO_57	20098D-04-55_S172_L003_R1_001.fastq.gz	20098D-04-55_S172_L003_R2_001.fastq.gz
ID_DRTO_58	20098D-04-56_S173_L003_R1_001.fastq.gz	20098D-04-56_S173_L003_R2_001.fastq.gz
ID_DRTO_59	20098D-04-57_S174_L003_R1_001.fastq.gz	20098D-04-57_S174_L003_R2_001.fastq.gz
ID_DRTO_60	20098D-04-58_S175_L003_R1_001.fastq.gz	20098D-04-58_S175_L003_R2_001.fastq.gz
ID_DRTO_61	20098D-04-59_S176_L003_R1_001.fastq.gz	20098D-04-59_S176_L003_R2_001.fastq.gz
ID_DRTO_62	20098D-04-60_S177_L003_R1_001.fastq.gz	20098D-04-60_S177_L003_R2_001.fastq.gz
ID_DRTO_63	20098D-04-61_S178_L003_R1_001.fastq.gz	20098D-04-61_S178_L003_R2_001.fastq.gz
ID_DRTO_64	20098D-04-62_S179_L003_R1_001.fastq.gz	20098D-04-62_S179_L003_R2_001.fastq.gz
ID_DRTO_65	20098D-04-63_S180_L003_R1_001.fastq.gz	20098D-04-63_S180_L003_R2_001.fastq.gz
ID_DRTO_66	20098D-04-64_S181_L003_R1_001.fastq.gz	20098D-04-64_S181_L003_R2_001.fastq.gz
ID_DRTO_67	20098D-04-65_S182_L003_R1_001.fastq.gz	20098D-04-65_S182_L003_R2_001.fastq.gz
ID_DRTO_68	20098D-04-66_S183_L003_R1_001.fastq.gz	20098D-04-66_S183_L003_R2_001.fastq.gz
ID_DRTO_69	20098D-04-67_S184_L003_R1_001.fastq.gz	20098D-04-67_S184_L003_R2_001.fastq.gz
ID_DRTO_70	20098D-04-68_S185_L003_R1_001.fastq.gz	20098D-04-68_S185_L003_R2_001.fastq.gz
ID_DRTO_71	20098D-04-69_S186_L003_R1_001.fastq.gz	20098D-04-69_S186_L003_R2_001.fastq.gz
ID_DRTO_72	20098D-04-70_S187_L003_R1_001.fastq.gz	20098D-04-70_S187_L003_R2_001.fastq.gz
ID_DRTO_73	20098D-04-71_S188_L003_R1_001.fastq.gz	20098D-04-71_S188_L003_R2_001.fastq.gz
ID_DRTO_74	20098D-04-72_S189_L003_R1_001.fastq.gz	20098D-04-72_S189_L003_R2_001.fastq.gz
ID_DRTO_75	20098D-04-73_S190_L003_R1_001.fastq.gz	20098D-04-73_S190_L003_R2_001.fastq.gz
ID_DRTO_76	20098D-04-74_S191_L003_R1_001.fastq.gz	20098D-04-74_S191_L003_R2_001.fastq.gz
ID_DRTO_77	20098D-04-75_S192_L003_R1_001.fastq.gz	20098D-04-75_S192_L003_R2_001.fastq.gz
ID_DRTO_78	20098D-04-76_S193_L003_R1_001.fastq.gz	20098D-04-76_S193_L003_R2_001.fastq.gz
ID_DRTO_79	20098D-04-77_S194_L003_R1_001.fastq.gz	20098D-04-77_S194_L003_R2_001.fastq.gz
ID_DRTO_80	20098D-04-78_S195_L003_R1_001.fastq.gz	20098D-04-78_S195_L003_R2_001.fastq.gz
ID_DRTO_81	20098D-04-79_S196_L003_R1_001.fastq.gz	20098D-04-79_S196_L003_R2_001.fastq.gz
ID_DRTO_82	20098D-04-80_S197_L003_R1_001.fastq.gz	20098D-04-80_S197_L003_R2_001.fastq.gz
ID_DRTO_83	20098D-04-81_S198_L003_R1_001.fastq.gz	20098D-04-81_S198_L003_R2_001.fastq.gz
ID_DRTO_84	20098D-04-82_S199_L003_R1_001.fastq.gz	20098D-04-82_S199_L003_R2_001.fastq.gz
ID_DRTO_85	20098D-04-83_S200_L003_R1_001.fastq.gz	20098D-04-83_S200_L003_R2_001.fastq.gz
ID_DRTO_86	20098D-04-84_S201_L003_R1_001.fastq.gz	20098D-04-84_S201_L003_R2_001.fastq.gz
ID_DRTO_87	20098D-04-85_S202_L003_R1_001.fastq.gz	20098D-04-85_S202_L003_R2_001.fastq.gz
ID_DRTO_88	20098D-04-86_S203_L003_R1_001.fastq.gz	20098D-04-86_S203_L003_R2_001.fastq.gz
ID_DRTO_89	20098D-04-87_S204_L003_R1_001.fastq.gz	20098D-04-87_S204_L003_R2_001.fastq.gz
ID_DRTO_90	20098D-04-88_S205_L003_R1_001.fastq.gz	20098D-04-88_S205_L003_R2_001.fastq.gz
ID_DRTO_91	20098D-04-89_S206_L003_R1_001.fastq.gz	20098D-04-89_S206_L003_R2_001.fastq.gz
ID_DRTO_92	20098D-04-90_S207_L003_R1_001.fastq.gz	20098D-04-90_S207_L003_R2_001.fastq.gz
ID_DRTO_93	20098D-04-91_S208_L003_R1_001.fastq.gz	20098D-04-91_S208_L003_R2_001.fastq.gz
ID_DRTO_94	20098D-04-92_S209_L003_R1_001.fastq.gz	20098D-04-92_S209_L003_R2_001.fastq.gz
ID_DRTO_95	20098D-04-93_S210_L003_R1_001.fastq.gz	20098D-04-93_S210_L003_R2_001.fastq.gz
ID_DRTO_96	20098D-04-94_S211_L003_R1_001.fastq.gz	20098D-04-94_S211_L003_R2_001.fastq.gz
ID_DRTO_97	20098D-04-95_S212_L003_R1_001.fastq.gz	20098D-04-95_S212_L003_R2_001.fastq.gz
ID_DRTO_98	20098D-04-96_S213_L003_R1_001.fastq.gz	20098D-04-96_S213_L003_R2_001.fastq.gz
ID_DRTO_99	20098D-04-97_S19_L008_R1_001.fastq.gz	20098D-04-97_S19_L008_R2_001.fastq.gz
ID_DRTO_100	20098D-04-98_S20_L008_R1_001.fastq.gz	20098D-04-98_S20_L008_R2_001.fastq.gz
ID_DRTO_101	20098D-04-99_S21_L008_R1_001.fastq.gz	20098D-04-99_S21_L008_R2_001.fastq.gz
ID_DRTO_102	20098D-04-100_S22_L008_R1_001.fastq.gz	20098D-04-100_S22_L008_R2_001.fastq.gz
ID_DRTO_103	20098D-04-101_S23_L008_R1_001.fastq.gz	20098D-04-101_S23_L008_R2_001.fastq.gz
ID_DRTO_104	20098D-04-102_S24_L008_R1_001.fastq.gz	20098D-04-102_S24_L008_R2_001.fastq.gz
ID_DRTO_105	20098D-04-103_S25_L008_R1_001.fastq.gz	20098D-04-103_S25_L008_R2_001.fastq.gz
ID_DRTO_106	20098D-04-104_S26_L008_R1_001.fastq.gz	20098D-04-104_S26_L008_R2_001.fastq.gz
ID_DRTO_107	20098D-04-105_S27_L008_R1_001.fastq.gz	20098D-04-105_S27_L008_R2_001.fastq.gz
